plesalec,plesalka,drzava,kategorija,idplesalca
Alessandro Bosco,Laura Nolan,Ireland,Adult,Alessandro_Bosco-82f7f4a2-6547-4d56-b755-9e1401217b98
Bruno Cerra,Mathilde Bless Figenschau,Norway,Adult,Bruno_Cerra-822b061e-30ba-4832-a3e2-9e14015dfff5
David Prochazka,Annamaria Racova,Slovakia,Youth,David_Prochazka-6c5be3ac-cdb8-4ebd-8db8-a193010ad066
ANDRIUS VILCINSKAS,Gertruda Rumzyte,Lithuania,Youth,ANDRIUS_VILCINSKAS-2872a47e-3ba2-4ea9-9dac-a10000f8bc6b
Paul Frlicka,Ruth Svandova,Czech Republic,Adult,Paul_Frlicka-c70feb14-e18b-4b8c-a9bc-a08800437be7
Alexander Georgiev,Carla Bustamante colao,Spain,Adult,Alexander_Georgiev-707be321-8535-4d28-87a3-a16000afd724
Sergey Khrustalev,Yana Ivanova Yordanova,Bulgaria,Adult,Sergey_Khrustalev-7246143d-fe09-4bdd-a819-a16000a50eac
Giuseppe Esposito,Tiziana Borrelli,Italy,Adult,Giuseppe_Esposito-74b85dab-e0ba-4c9b-8704-a12b00b6ba3a
Domantas Stanionis,Ieva Birieta,Lithuania,Youth,Domantas_Stanionis-1dab9d88-7097-4fbb-9bae-a31600fee1d2
Silvio Bianco,Monica Rabbia,Italy,Adult,Silvio_Bianco-a3636cee-0e5a-4808-8a5e-a45900c4bc00
Mauro Pisano,Susanna Tatti,Italy,Adult,Mauro_Pisano-23e24d80-2de7-4d6a-94d6-a459010a65f3
Franck Perino,Jennifer Chevalier,France,Senior I,Franck_Perino-48cc1f06-76ef-4ccb-ba51-a44f00e8f737
Sergio Trevisan,Roberta Betto,Italy,Senior III,Sergio_Trevisan-2f494b9e-3da0-48cd-8eb9-a44900a063d4
Lukas Kaskauskas,Jurgita Marciulynaite,Lithuania,Adult,Lukas_Kaskauskas-c716afc5-604b-4a15-881b-a3f600ed9bb4
Edoardo Paolo Schettino,Alessandra Giordano,Italy,Junior II,Edoardo_Paolo_Schettino-cf014eff-21ea-43f3-a1d1-a3ea00cf5545
Jiri Svoboda,Petra Kopecka,Czech Republic,Senior I,Jiri_Svoboda-f08e9d3e-92f7-48e0-abd8-a44b00cf4719
Samuel Navratil,Barbora Chudarkova,Czech Republic,Junior I,Samuel_Navratil-5b9dddaf-7434-4e4d-9fa8-a459009726cd
Andre Bily,Tereza Bila,Czech Republic,Adult,Andre_Bily-2311d4ec-eaa8-4ce2-9cc8-a456016dc6ef
Fedor Selnitsyn,Alena Makarova,Russian Federation,Youth,Fedor_Selnitsyn-cff4c9be-e12d-416d-8456-a45a01181bf9
Egor Feklichev,Maria Firsova,Russian Federation,Junior I,Egor_Feklichev-8df1762c-083e-4796-928e-a45a01298fa1
Josef Pavelka,Lenka Andrysova,Czech Republic,Senior I,Josef_Pavelka-d037c06f-cc5d-445f-9de5-a45200ab90e7
Pavel Mandlik,Natalie Krausova,Czech Republic,Junior II,Pavel_Mandlik-f2f5ebd3-f4f1-42f9-a5d5-a456016a2fe6
Lukas Hubst,Martina Kamenicka,Czech Republic,Youth,Lukas_Hubst-c92d3d2c-d1e2-42a5-8941-a456016b96ec
Nikolay Sukhanov,Anna Lapteva,Russian Federation,Junior II,Nikolay_Sukhanov-1cf5b2ac-2473-4689-a6d2-a29800015465
Martin Suhr Moordieck,Emma Rise Adrian,Denmark,Youth,Martin_Suhr_Moordieck-99d630e4-e580-4ec5-bf5e-a0be004357b3
Patrik Navratil,Miriam Vavrickova,Czech Republic,Junior II,Patrik_Navratil-23bf6c60-5a5f-4509-ad99-a0ee00973ea5
Artem Pogudin,Liudmila Mitriaeva,Russian Federation,Adult,Artem_Pogudin-bc80bbbe-9b5b-4751-9a03-a1ce0148d34a
Gor Shirinian,Alina Salakhetdinova,Russian Federation,Junior II,Gor_Shirinian-a4ff2c5e-b632-4b72-b772-a28a0160834d
Baurzhan Beken,Raziya Salimova,Kazakhstan,Adult,Baurzhan_Beken-4e879645-aae0-470b-a03f-a1e80102b3a3
Jakub Sedlak,Tereza Zakravacova,Czech Republic,Youth,Jakub_Sedlak-409228d7-4ce4-4324-be82-a0ed00dd9db1
Mael Legrain,Edwige Bou,France,Junior II,Mael_Legrain-c626ab71-7fd2-4ca6-8045-a17300ee9187
Gabor Adam Szabo,Zsuzsanna Benko,Hungary,Adult,Gabor_Adam_Szabo-103daea7-5565-4792-b27d-a07e00435157
Joao Correia,Rita Forinho,Portugal,Youth,Joao_Correia-b1f35dfd-aa04-41c9-bee1-a2e10167b4d7
Toprak Aslan Kalakci,Buse Ogdul,Turkey,Juvenile I,Toprak_Aslan_Kalakci-0c291ff9-3826-4ee4-b946-a45a0112e107
Alejandro Sanchez Rico,Marta Navarro Perez,Spain,Youth,Alejandro_Sanchez_Rico-61b0f01f-38dc-4eb8-810c-a45d009c1040
Gioacchino Ingo,Grazia Ginesi,Italy,Senior III,Gioacchino_Ingo-6c7446c7-02d2-4139-a241-a45d00e0b3d9
Robin Lataire,Elien Laukens,Belgium,Adult,Robin_Lataire-bd79da7b-eeaf-4a51-a4b4-a45900aa919d
Andras Angyal,Emese Markovics,Hungary,Adult,Andras_Angyal-25a48697-8e8e-4c41-8017-a45d013f7d41
Ton Klooster,Marja Klooster - Verburg,Netherlands,Senior III,Ton_Klooster-6a39727d-cdd8-46bf-b16b-a45d014886ac
Miguel Angelo Carvalho Nabeto,Claudia Susana Macedo Jesus,Portugal,Senior I,Miguel_Angelo_Carvalho_Nabeto-64ceeb48-c5d0-4e40-b8d6-a45d016df671
Roman Smolyukh,Silvana Kosohova,Ukraine,Youth,Roman_Smolyukh-bc5ac650-23d5-4e41-8963-a45e00b357c2
Nicolas Reboul,Cynthia Saidi,France,Adult,Nicolas_Reboul-87b0a304-0aab-4a6e-ab79-a2f30105ee60
Danila Telpukhovsky,Olivia Popek,Poland,Adult,Danila_Telpukhovsky-f4eb8006-d89a-4afa-8226-a1e20142ece3
Mateusz Przybyslawski,Oliwia Milewicz,Poland,Youth,Mateusz_Przybyslawski-6149b3e4-6c43-435d-b877-a1980136d1ca
Eike Wenzel,Nadine Frohberg,Germany,Adult,Eike_Wenzel-2ad302f3-2976-483e-856e-9e14015fb658
Rati Bliadze,Nino Gegelashvili,Georgia,Youth,Rati_Bliadze-31fdf15c-8408-4dc6-8ba2-a1ad00db1221
Tsotne Bliadze,Londa Tkemaladze,Georgia,Adult,Tsotne_Bliadze-0afb6b3b-6aaa-4aef-bf0c-a1ad00e1fb09
Georgy Shkurdalov,Kristina Poryvaeva,Russian Federation,Adult,Georgy_Shkurdalov-d8b9dde6-3828-4dd7-9576-9fc000436f00
Jan Ciesielski,Luiza Rosinska,Poland,Youth,Jan_Ciesielski-c602ec8b-2b15-4102-95c8-a14000438418
Egor Nikolaev,Arina Bortnikova,Russian Federation,Junior II,Egor_Nikolaev-1aff77bc-0b83-4657-a1c2-a2d600ff460d
Carlos Santander,Margarita Orrego,Chile,Senior I,Carlos_Santander-c040cf39-3836-44f2-bff2-a45d0103d432
Matheo Comte,Lilly Cantineau,France,Juvenile II,Matheo_Comte-5824c77b-5e87-468b-8aa5-a3d900e37409
Deniel Alekseev,Adrija Rebeka Andruskevica,Latvia,Youth,Deniel_Alekseev-2cff5923-ab7a-4dd7-9961-a3cd015c7bb9
Cristian Lozano,Javiera Ordonez,Chile,Senior I,Cristian_Lozano-832e2279-9f83-46f5-a10e-a45f00ea84c4
Alejandro Lagos,Belen Castro,Chile,Adult,Alejandro_Lagos-f0d99d89-9a50-4e62-aecf-a45d01335bed
Christoph Pollmann,Astrid Pollmann,Germany,Senior III,Christoph_Pollmann-5cc045ef-d30a-48a2-a9a1-a45e00a8cd64
Harald Ries,Antonie Ries,Germany,Senior III,Harald_Ries-dd4c7c3e-1975-40ca-9b7a-a45e00aab379
Tomasz Tyrakowski,Pola Mierzwa,Poland,Junior I,Tomasz_Tyrakowski-17dafe97-c110-4da9-aaf9-a46000cd8816
Dmitry Ivakhnenko,Polina Lisitsina,Russian Federation,Adult,Dmitry_Ivakhnenko-8d6788bd-844a-4ad3-967a-a46000060de1
Petr Stodolia,Vera Sokova,Russian Federation,Adult,Petr_Stodolia-b09e7fb2-323a-43f2-a1f1-a46000259ce4
Sascha Groh,Beate Groh,Germany,Senior II,Sascha_Groh-3f0c64bd-9099-4e78-acd2-a46000e1d615
Vadzim Zhdanovich,Viktoryia Nizavets,Belarus,Adult,Vadzim_Zhdanovich-b9453701-4783-4cc6-aecd-a3d300f5bbb6
Vsevolod Mikulik,Renata Valeeva,Russian Federation,Junior II,Vsevolod_Mikulik-feab4920-9e34-4510-ba2b-a3b5011a336e
Maik Konecny,Larissa Millan,Germany,Adult,Maik_Konecny-6a4f00a8-5a02-4048-b3ab-a45a00cd3f73
Nicolas Uciteli,Anastasia Kozlova,Germany,Junior II,Nicolas_Uciteli-7a3d3deb-d948-4a29-806f-a44f00e32b94
Jan Bednarz,Wiktoria Lassak,Poland,Junior II,Jan_Bednarz-1fe165fc-5ae8-4efc-9a92-a2e70074b502
Evgeny Kravets,Svetlana Abrosimova,Russian Federation,Adult,Evgeny_Kravets-494020fb-a614-4fab-b836-9fd20043a85c
Kewin Espenszyt,Aleksandra Piotrowska,Poland,Adult,Kewin_Espenszyt-5237e3ad-0fc8-42fe-aaa1-a0770043653a
Ciprian Ilhamy Petre,Dina Iuliana Pantea,Romania,Adult,Ciprian_Ilhamy_Petre-f85162d6-1bef-43e5-aac3-a181012f6396
Daniil Proklov,Anastasia Kholoshchak,Russian Federation,Junior II,Daniil_Proklov-109d2c53-36ca-4ca1-9d81-a181010c1bb2
Giuseppe Orlando,Anna Burgio,Italy,Senior III,Giuseppe_Orlando-6a7c3f42-dadd-482e-bdfc-9e14015ed426
Thorsten Kwade,Christiane Mauruschat,Germany,Senior II,Thorsten_Kwade-8f15aa79-fd99-4951-947c-a3ee00b8b30d
Robert- Mihail Cambei,Lidia Vidal Gonzalez,Spain,Junior I,Robert-_Mihail_Cambei-e15bab4e-29c8-416a-bec8-a46100b948fa
Carlos Santiago Nebreda,Maria Angeles Saiz Diez,Spain,Senior III,Carlos_Santiago_Nebreda-12c113e3-44bc-477a-946e-a46100b9c7d0
Nuno Andrade,Ana Rita Paiva,Portugal,Adult,Nuno_Andrade-d20e4420-6361-4b2d-b9a3-a1f8016a3afa
Yury Makhmutianov,Rina Nurislamova,Russian Federation,Adult,Yury_Makhmutianov-90ead617-c390-4f13-880d-a181010c131b
Andrey Varlamov,Daria Malko,Russian Federation,Adult,Andrey_Varlamov-5599171a-8f3f-4743-b83c-a181010c2036
Egor Goncharuk,Ekaterina Shelekhova,Russian Federation,Youth,Egor_Goncharuk-01f98ac8-832c-4af1-b390-a1a500e8c0cc
Ilya Kornev,Daria Zhukova,Albania,Adult,Ilya_Kornev-01557e35-78e8-4e8e-8bf1-a08b0043ae77
Li Lin,Giulia Giacoppo,Chinese Taipei,Adult,Li_Lin-3f833385-bee5-4d65-8a57-a1a501252d81
Artem Zhychuk,Gabriella Pustilnik,United States,Adult,Artem_Zhychuk-4337ad7e-8a49-4e87-b3a5-a46400f6adc7
Jaryd Farcon,Kyla Dzhaniashvili,United States,Adult,Jaryd_Farcon-d68a5104-f8c0-4b56-93d3-a460015da51f
Ruben Luis Bardales Bardales,Lila Oliva Quispe Fuentes,Peru,Senior I,Ruben_Luis_Bardales_Bardales-0d1d6703-c1c4-4985-94ea-a39b013aad35
Mitchell Kirkby,Brieanna Pincer,Australia,Adult,Mitchell_Kirkby-11c07de2-85b9-4675-a4bc-a3e3000fba74
Sergey Demin,Elena Dnishchenko,Russian Federation,Adult,Sergey_Demin-4f5f2e9e-aa2c-467c-a5a8-a2e500503b7a
Ilya Aleksandrovich,Krystsina Struzhynskaya,Belarus,Adult,Ilya_Aleksandrovich-10661265-f0c2-4d1f-8885-a3b501826e0a
Edas Lakavicius,Emilija Aleksandraviciute,Lithuania,Youth,Edas_Lakavicius-7061797b-058b-4465-8272-a45d00cd2e7d
Dovydas Viskontas,Kamile Narusyte,Lithuania,Youth,Dovydas_Viskontas-ad62ea91-6b21-4a2a-9fb6-a44300b2ca9f
Tilo Wiese,Jale Zinser,Switzerland,Junior I,Tilo_Wiese-e6810218-048b-4ccf-a8b5-a46500d36bcb
Vasileios Savvidis,Ioanna Katsimaki,Greece,Adult,Vasileios_Savvidis-e4a84f9e-b468-46db-9e52-a46501202c56
Evgeny Egorov,Victoria Akhrameeva,Russian Federation,Adult,Evgeny_Egorov-298dc2b9-e81f-4d2a-992d-a4650183f628
Sergey Kostenko,Uliana Arkhangelskaya,Russian Federation,Youth,Sergey_Kostenko-1fb41699-9674-4b35-b11d-a24300e2366c
Arseny Semenov,Natalia Karakotova,Russian Federation,Junior II,Arseny_Semenov-decc9190-e5a7-42a5-91a6-a181010c01af
Evgeny Sadkovsky,Julia Platonova,Russian Federation,Adult,Evgeny_Sadkovsky-82a6a3c9-839f-4e90-9af6-9ed500431ce2
Nikita Golota,Victoria Konstantinova,Russian Federation,Adult,Nikita_Golota-9dbcb72f-4e09-4c05-b832-9e1401227f27
Jason Lin,Sunmay Sung,Chinese Taipei,Adult,Jason_Lin-f34e66b9-ae70-43f9-9cf8-9e1401298436
Alexandr Gladyshev,Darya Solovyeva,Russian Federation,Youth,Alexandr_Gladyshev-0368f497-3e0e-4b09-a603-a181010bfb28
Robert - Costin Damian,Andreea-Maria Maxim,Romania,Youth,Robert_-_Costin_Damian-b5f1b3c9-0729-4140-a93b-a1e8009e8c4b
Nikita Pekin,Elizaveta Markina,Russian Federation,Youth,Nikita_Pekin-08d1b68b-6393-49ca-8076-a1ee007a9ad4
Vasily Nemishev,Ekaterina Maslakova,Russian Federation,Junior II,Vasily_Nemishev-9203e4bb-f52a-432a-b95c-a1ee007b7bb0
Artem Shevchenko,Anastasia Gurianova,Russian Federation,Youth,Artem_Shevchenko-836d4440-2934-4605-a496-a1ee0078f93a
Alex Valentin Dicilea,Raisa Michelle Schumacher,Romania,Youth,Alex_Valentin_Dicilea-27ed394a-099e-4cbb-bcd0-a25100bfc823
Artemi Fursov,Anastasia Huber,Germany,Youth,Artemi_Fursov-3011ec75-59c4-44e5-8b1b-a46500bb546d
Kania Krzysztof,Karolina Wiltowska,Poland,Adult,Kania_Krzysztof-2e9f4962-c4e8-4ee8-bfc6-a46700760c65
Jan van Vlimmeren,Wilhelmina Kuipers,Netherlands,Senior III,Jan_van_Vlimmeren-f0ff3c33-95de-4d33-93a6-a466014808c8
Angel Stanislav Wang,Olga Naumova,Russian Federation,Junior I,Angel_Stanislav_Wang-82d6bf29-8c64-4dbc-b4a0-a4660122e8ca
Ciprian Constantin Guriuc,Andreea Delia Irimescu,Romania,Adult,Ciprian_Constantin_Guriuc-a73a5aa3-0ad1-420d-8ddd-a466013ca586
Theodor Vivian Corches,Flavia Mincu,Romania,Adult,Theodor_Vivian_Corches-7dcae04d-88cd-440b-bc4d-a466013dd30a
Stalter Jean-Marc,Stalter Marie-France,France,Senior IV,Stalter_Jean-Marc-1a2b9f48-71bf-4e7b-ac6a-a44500bc500c
Ilya Terentiev,Natalia Lebedeva,Russian Federation,Juvenile II,Ilya_Terentiev-752aeeed-5824-4a14-81a4-a3fc017e5553
Aleksei Sitnikov,Anastassia Salamatova,Estonia,Juvenile II,Aleksei_Sitnikov-57d907a4-9000-4abc-ac1f-a41900be5656
Damian Cybulski,Kinga Gruszczynska,Poland,Junior II,Damian_Cybulski-8dfae7d1-5f60-455d-97bb-a3c6014eb8e9
Nikita Gerasimenko,Kristina Melnikova,Kyrgyzstan,Junior II,Nikita_Gerasimenko-aaf758c6-bb08-452f-a917-a2b900706d8f
Tim Fleischer,Lea Weber,Germany,Youth,Tim_Fleischer-2c54e53e-d867-48dc-b02e-a33e010675b9
Roberts Andersons,Jekaterina Rasimjonoka,Latvia,Junior II,Roberts_Andersons-c9cb90ca-3d8c-4cd9-9217-a44f00aacd05
Roberto-Costin Cazacu,Cristina-Gabriela Codreanu,Romania,Youth,Roberto-Costin_Cazacu-9ece8793-70e7-4273-b8f5-a46700961027
Benjamin Ide,Daniela Stumpf,Germany,Adult,Benjamin_Ide-d0049b75-ee51-4d26-8df8-a46700d1a56a
Ragnar Traks,Kristina Volt,Estonia,Junior II,Ragnar_Traks-d0bc3a37-fb71-4876-8bc4-a23e00961783
Magnus Edvald Halldorsson,Daria Zorich,Iceland,Adult,Magnus_Edvald_Halldorsson-6720aa39-16c9-427e-811b-9e14015fa232
Martynas Brezgys,Egle Bertulyte,Lithuania,Youth,Martynas_Brezgys-dd3773cd-a660-49d3-9ed7-a24400e9b105
Danil Eremeev,Anastasia Golitsyna,Russian Federation,Junior II,Danil_Eremeev-509bbbbd-5d69-438e-a678-a181010c1977
Filippo Seren,Martha Bison,Italy,Senior III,Filippo_Seren-96928051-087f-4b6f-ae41-a14300bc9414
Oliver Curting,Eva Marie Egsmose,Denmark,Adult,Oliver_Curting-91647360-ca06-4fea-a3b1-a0e30043a5e3
Oleksandr Vygovskyy,Maria Majado Petit,Spain,Youth,Oleksandr_Vygovskyy-50cf58b4-f490-439f-8c4e-a02a00caeede
Paulius Sedleckis,Silvija Kerekes,Lithuania,Junior II,Paulius_Sedleckis-d3d7f8db-757f-4e1c-bd46-a46000ea7836
Florin Andrei Tudor - Popescu,Andra - Gabriela Preda,Romania,Youth,Florin_Andrei_Tudor_-_Popescu-8d97e345-ba3a-4a73-93a5-a43300f664de
Antanas Gustaitis,Dominyka Ciuteikyte,Lithuania,Youth,Antanas_Gustaitis-b18bdeec-7cc1-433a-b899-a42500fa34a0
Mikita Radkevich,Evgeniya Khut,Belarus,Junior II,Mikita_Radkevich-08d5119a-365e-439c-9a4c-a44f0097c8e3
Kirill Gunbin,Ekaterina Gubkina,Russian Federation,Youth,Kirill_Gunbin-a9a1ddbb-b6d3-4b01-9156-a3cb006d2c25
Alexandr Rulev,Anna Braga,Russian Federation,Adult,Alexandr_Rulev-fd3b192b-46ef-433f-ad8c-a3bf01892ee8
Gleb Zaytsev,Sofia Daniliuk,Russian Federation,Youth,Gleb_Zaytsev-c2353f44-83bc-461c-b437-a345010cf299
Nikita Murygin,Anastasia Sharkova,Russian Federation,Youth,Nikita_Murygin-f738ef99-45a4-4850-80d1-a34c017c6570
Daniil Gorin,Irina Lapkovskaya,Russian Federation,Youth,Daniil_Gorin-a7284426-ad3e-420f-9f2d-a46900aa196e
Andrey Timoshchenko,Vladlena Grona,Russian Federation,Youth,Andrey_Timoshchenko-01113872-809c-492f-a3d4-a46900b0be83
Jokubas Sakys,Radvile Susinskaite,Lithuania,Junior II,Jokubas_Sakys-09f89279-9a8b-44ba-bee7-a46900eb5167
Dominykas Mazaliauskas,Greta Baliutaviciute,Lithuania,Youth,Dominykas_Mazaliauskas-6c0fe6f7-87ea-4f9b-b2fb-a46900eb65ea
Vingaudas Navickas,Margarita Rimaite,Lithuania,Junior II,Vingaudas_Navickas-997039fc-d793-42c5-a30b-a46900eb7954
Zakhar Skrylnik,Polina Barkhatova,Russian Federation,Youth,Zakhar_Skrylnik-037605f2-de9b-4020-bd85-a181010c16f6
Eduard Florentin Coman,Irina Elena Tudorache,Romania,Youth,Eduard_Florentin_Coman-2596766a-48d2-4935-a85d-a1c200cac3c7
Bogdan Vladut Coconcea,Paula Sima,Romania,Adult,Bogdan_Vladut_Coconcea-cf1c40d4-4add-4310-80c3-a23700afafc1
Egor Shumkov,Anastasia Galeva,Russian Federation,Youth,Egor_Shumkov-cd3b092f-4456-43d5-96ba-a1e20143bb07
Gwenael Longuet,Laetitia Deplano,France,Senior I,Gwenael_Longuet-94862bb3-fe02-4564-97a5-9e14013359cb
Alexandr Sheyn,Julia Pushkarskaya,Russian Federation,Youth,Alexandr_Sheyn-967a7afc-016e-496a-8a99-a181010c1580
Lucian Cristian Niculae,Andreea Mihalascu,Romania,Youth,Lucian_Cristian_Niculae-05d6962e-c954-441e-bb00-a46a00ab6f7c
Cornel Moldovan,Oana Miron,Romania,Adult,Cornel_Moldovan-d06201f7-d40f-4dc4-afbe-a46a014848aa
Dragos-Laurentiu Costisor,Adelina-Daniela Pacuraru,Romania,Youth,Dragos-Laurentiu_Costisor-e7a80213-10a6-4834-9107-a46a01485b42
Nikita Bocharov,Veronika Burgardt,Russian Federation,Youth,Nikita_Bocharov-4a5a044e-c3ef-45fc-a0d9-a458011e0441
Lev Malgin,Anna Onianova,Russian Federation,Junior I,Lev_Malgin-018c55e6-16e5-409b-a071-a37500d71815
Giorgi Chinchaladze,Christina Tsantekidou,Greece,Adult,Giorgi_Chinchaladze-2f4a0a11-7fdf-43eb-9e02-a46b01268943
Giorgos Mountzouris,Charikleia Makri,Greece,Adult,Giorgos_Mountzouris-d25fa6ab-9739-4d35-8064-a46b0128fe82
Maxim Yakimov,Ekaterina Onianova,Russian Federation,Youth,Maxim_Yakimov-c9d7ad8e-e63e-42d6-8fea-a24a00b30ebb
Pavel Grudinin,Valeria Kurganskaya,Russian Federation,Junior II,Pavel_Grudinin-ca665448-d649-4138-ae8b-a2530134637b
Alessio Sechi,Chiara Pirastru,Italy,Youth,Alessio_Sechi-1c200b5a-2955-4d9f-9613-a46c00a3805c
Mauro Ranzini,Giuseppina Colombo,Italy,Senior III,Mauro_Ranzini-c0fa0716-27b0-44b0-8e9f-a46c00a7a4f0
Amedeo Lopez,Anna Mascheroni,Italy,Senior III,Amedeo_Lopez-d7a9d450-f592-4164-a98b-a46c00a7e66c
Riccardo Zaccagnini,Giovanna Crivelli,Italy,Senior IV,Riccardo_Zaccagnini-8b8ce1b0-d40f-474e-bfdc-a46c00a85100
Giuseppe Oldani,Luciana Trezzani,Italy,Senior III,Giuseppe_Oldani-5ff877ee-dad3-419d-b5b7-a46c00a868fc
Mario Lovati,Carmela Signorelli,Italy,Senior IV,Mario_Lovati-7e4ee5e8-480c-42a2-9f9a-a46c00a87fac
Vincenzo Dente,Rosa Soricelli,Italy,Senior III,Vincenzo_Dente-4b22a0a2-47fc-409c-8e41-a46c00ebb87e
Patrick Chua,Rene Tan,Singapore,Adult,Patrick_Chua-358c345a-6125-40f9-be5d-a46900e5f84b
Russell Chan,Beverly Wan,Singapore,Adult,Russell_Chan-d8d39c37-4589-448c-8843-a46100d63615
Amulya Garg,Qian Xia,Singapore,Adult,Amulya_Garg-a595578b-0fb1-471c-b735-a462010219b2
Justino Hoi,Wan Ching Pang,Singapore,Adult,Justino_Hoi-344dfd02-497c-48ff-8fca-a44d01071d3f
Muhammad Azri Bin Mohamed,Wei Lin Kek,Singapore,Adult,Muhammad_Azri_Bin_Mohamed-25a274ce-5d96-4021-b559-a44d010744c1
Liutauras Suvorovas,Elina Smilgeviciute,Lithuania,Youth,Liutauras_Suvorovas-dc5304d7-68ae-4cba-a117-a3a10093f610
Daniil Uibo,Angelika Arno,Estonia,Junior II,Daniil_Uibo-3bb5d56c-8667-4f02-a24a-a26c00b81da4
Nikita Fedotov,Antonina Mazepa,Russian Federation,Youth,Nikita_Fedotov-63b9aff9-543e-45ef-a3c1-a28401848e48
Pavel Shorin,Valeria Didkovskaya,Russian Federation,Youth,Pavel_Shorin-e04e5ae6-76bd-4621-bdc6-a27b01791d1f
Alexey Abramov,Anna Fedoseenko,Russian Federation,Junior I,Alexey_Abramov-26e102d1-b18b-4d74-98c5-a2390101dae4
Aleksandr Tishuk,Uladzislava Melnik,Belarus,Junior II,Aleksandr_Tishuk-a1bcd2e7-82c9-401b-ade0-a13701448a4c
Artsiom Kniaz,Olga Pogorelova,Belarus,Youth,Artsiom_Kniaz-7716ef7c-19be-4908-94fc-a136014901f2
Jan Rudolph,Carolin Teschke,Germany,Adult,Jan_Rudolph-80d524b6-889f-4c67-a0c3-9e14016020be
Alexandr Gasparian,Anastasia Kosova,Russian Federation,Adult,Alexandr_Gasparian-5c6c96d0-5b4f-4a1d-aeb7-9ef00043e080
Nikita Pavlov,Ekaterina Sharanova,Russian Federation,Adult,Nikita_Pavlov-d137c28c-60bf-47e8-a9df-9e4000e3c513
Marko Sapina,Anja Alispahic,Croatia,Adult,Marko_Sapina-049376d0-c72a-448a-99c4-9ea60042f224
Dennis Ciomber,Julia von Bruehl,Germany,Adult,Dennis_Ciomber-c72469c8-3da9-439a-a9c2-9e14012bb929
Bernd Farwick,Petra Voosholz,Germany,Senior III,Bernd_Farwick-333d0c93-3360-4e7f-882c-9e14012cea13
Marat Zhumabekov,Evgenia Dediurina,Russian Federation,Adult,Marat_Zhumabekov-ec70dfac-fea9-49c2-a920-9ea400431639
Alexander Barthel,Annett Neumann,Germany,Senior I,Alexander_Barthel-e853c0db-ccd9-4884-afa0-9f340043d5af
Anton Shirmanov,Yaroslava Mazhukhina,Russian Federation,Adult,Anton_Shirmanov-f0c0059a-382f-4a42-bb0f-a181010c01d9
Akim Barkovsky,Julia Kudriavtseva,Russian Federation,Adult,Akim_Barkovsky-7589554f-83a9-4c57-889c-a07a0043be46
Alexey Drutsa,Anastasia Pekusheva,Russian Federation,Adult,Alexey_Drutsa-0c2e16fb-9390-46f0-a302-a24300f6c017
Robin Beilmann,Liis Grete Atonen,Estonia,Youth,Robin_Beilmann-26b5227f-c59b-420d-a994-a26e00e8805c
Arseni Shastakou,Maryia Sabanskaya,Belarus,Junior II,Arseni_Shastakou-770997a5-bddb-4a89-a4c9-a1a500df8ea7
Alessio Salvo,Andreana Camodeca,Italy,Adult,Alessio_Salvo-81edc682-bb00-4924-9da6-a1b200adebe9
Ugo Vittorio Leverone,Silva Ore,Italy,Senior III,Ugo_Vittorio_Leverone-768054f8-ef88-4a56-b621-a44f00c99121
Grigory Koviazin,Yana Popelysh,Russian Federation,Junior II,Grigory_Koviazin-6d731ad6-13a8-4f20-825e-a40800f82190
Vladimir Shchukin,Alina Erokhina,Russian Federation,Youth,Vladimir_Shchukin-a2e3fef4-f9fe-47a7-8c5e-a2ca00fcad4b
Pierre-Yves Richoz,Audrey Etter,Switzerland,Senior I,Pierre-Yves_Richoz-b79eaa8b-8013-41a1-b1a6-a46b0096f165
Christoph Buchholz,Murugan Violaine,Switzerland,Adult,Christoph_Buchholz-438b7f7c-86e2-4002-8160-a46b00991c41
Anton Peredery,Sofia Laukart,Russian Federation,Junior II,Anton_Peredery-f8c80ecc-b77d-47e7-bf72-a46e0016dabf
Benjamin Eiermann,Tina Zettelmeier,Germany,Senior I,Benjamin_Eiermann-5cd445f8-2c30-42cf-b1c7-a46e00cb0c1b
Rene Mueller,Anna Maria Pfeffer,Germany,Senior I,Rene_Mueller-20513fdd-66b4-44db-88fd-a46e009eb256
Istvan Bazsik,Kamilla Kralik,Hungary,Youth,Istvan_Bazsik-9c01a10f-dee6-4d9e-9f26-a46e012dfc36
Karoly Attila Szanto,Evelin Noemi Szakal,Hungary,Adult,Karoly_Attila_Szanto-57178bc4-a363-4421-9198-a46e012e3c3c
Viktor Lazok,Ines Papa,Hungary,Adult,Viktor_Lazok-7b5d5ca7-1d83-4ffa-b726-a46e012e6e4e
Valentin Ershov,Natalya Vorobyeva,Russian Federation,Junior I,Valentin_Ershov-738e3774-88bb-4d20-a89a-a46f012a9c1f
Kirill Parshin,Viktoria Gayer,Russian Federation,Juvenile II,Kirill_Parshin-62c90038-1bde-425e-8106-a46f012af0ac
Mario Arnaudov,Ivelina Karcheva,Bulgaria,Juvenile I,Mario_Arnaudov-1ca9d70d-71d7-41a6-8ec4-a46c008ca483
Daniil Kalantaev,Kamila Khalikova,Russian Federation,Junior II,Daniil_Kalantaev-b1f16ce0-2160-4cab-a453-a31d00093581
Alexey Tolstykh,Anastasia Evdokimova,Russian Federation,Junior II,Alexey_Tolstykh-c8f4afc8-cdee-4fb8-8950-a1fd00c08ddb
